Show_Id,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Listed_In,Description
S1,Movie,Dick Johnson Is Dead,Kirsten Johnson,,United States,"September 25, 2021",2020,Pg-13,90 Min,Documentaries,"As Her Father Nears The End Of His Life, Filmmaker Kirsten Johnson Stages His Death In Inventive And Comical Ways To Help Them Both Face The Inevitable."
S2,Tv Show,Blood & Water,,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",South Africa,"September 24, 2021",2021,Tv-Ma,2 Seasons,"International Tv Shows, Tv Dramas, Tv Mysteries","After Crossing Paths At A Party, A Cape Town Teen Sets Out To Prove Whether A Private-School Swimming Star Is Her Sister Who Was Abducted At Birth."
S3,Tv Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",,"September 24, 2021",2021,Tv-Ma,1 Season,"Crime Tv Shows, International Tv Shows, Tv Action & Adventure","To Protect His Family From A Powerful Drug Lord, Skilled Thief Mehdi And His Expert Team Of Robbers Are Pulled Into A Violent And Deadly Turf War."
S4,Tv Show,Jailbirds New Orleans,,,,"September 24, 2021",2021,Tv-Ma,1 Season,"Docuseries, Reality Tv","Feuds, Flirtations And Toilet Talk Go Down Among The Incarcerated Women At The Orleans Justice Center In New Orleans On This Gritty Reality Series."
S5,Tv Show,Kota Factory,,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",India,"September 24, 2021",2021,Tv-Ma,2 Seasons,"International Tv Shows, Romantic Tv Shows, Tv Comedies","In A City Of Coaching Centers Known To Train India’s Finest Collegiate Minds, An Earnest But Unexceptional Student And His Friends Navigate Campus Life."
S6,Tv Show,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",,"September 24, 2021",2021,Tv-Ma,1 Season,"Tv Dramas, Tv Horror, Tv Mysteries","The Arrival Of A Charismatic Young Priest Brings Glorious Miracles, Ominous Mysteries And Renewed Religious Fervor To A Dying Town Desperate To Believe."
S7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael Mckean, Phil Lamarr",,"September 24, 2021",2021,Pg,91 Min,Children & Family Movies,"Equestria's Divided. But A Bright-Eyed Hero Believes Earth Ponies, Pegasi And Unicorns Should Be Pals — And, Hoof To Heart, She’s Determined To Prove It."
S8,Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,Tv-Ma,125 Min,"Dramas, Independent Movies, International Movies","On A Photo Shoot In Ghana, An American Model Slips Back In Time, Becomes Enslaved On A Plantation And Bears Witness To The Agony Of Her Ancestral Past."
S9,Tv Show,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",United Kingdom,"September 24, 2021",2021,Tv-14,9 Seasons,"British Tv Shows, Reality Tv","A Talented Batch Of Amateur Bakers Face Off In A 10-Week Competition, Whipping Up Their Best Dishes In The Hopes Of Being Named The U.K.'S Best."
S10,Movie,The Starling,Theodore Melfi,"Melissa Mccarthy, Chris O'dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",United States,"September 24, 2021",2021,Pg-13,104 Min,"Comedies, Dramas",A Woman Adjusting To Life After A Loss Contends With A Feisty Bird That's Taken Over Her Garden — And A Husband Who's Struggling To Find A Way Forward.
S11,Tv Show,"Vendetta: Truth, Lies And The Mafia",,,,"September 24, 2021",2021,Tv-Ma,1 Season,"Crime Tv Shows, Docuseries, International Tv Shows","Sicily Boasts A Bold ""Anti-Mafia"" Coalition. But What Happens When Those Trying To Bring Down Organized Crime Are Accused Of Being Criminals Themselves?"
